-27479,-15068,21894,17149
-27023,-15025,21568,16905
-28384,-15152,22529,17631
-27932,-15110,22215,17392
-27479,-15068,21894,17149
-27023,-15025,21568,16905
-26563,-14982,21240,16662
-27932,-15110,22215,17392
-27479,-15068,21894,17149
-27023,-15025,21568,16905
-26563,-14982,21240,16662
-26102,-14940,20908,16416
-27479,-15068,21894,17149
-27023,-15025,21568,16905
-26563,-14982,21240,16662
-26102,-14940,20908,16416
-25639,-14897,20572,16168
-27023,-15025,21568,16905
-26563,-14982,21240,16662
-26102,-14940,20908,16416
-25639,-14897,20572,16168
-25174,-14854,20231,15919
-26563,-14982,21240,16662
-26102,-14940,20908,16416
-25639,-14897,20572,16168
-25174,-14854,20231,15919
-24707,-14811,19889,15669
-26102,-14940,20908,16416
-25639,-14897,20572,16168
-25174,-14854,20231,15919
-24707,-14811,19889,15669
-24240,-14768,19546,15418
-25639,-14897,20572,16168
-25174,-14854,20231,15919
-24707,-14811,19889,15669
-24240,-14768,19546,15418
-23769,-14725,19198,15164
-25174,-14854,20231,15919
-24707,-14811,19889,15669
-24240,-14768,19546,15418
-23769,-14725,19198,15164
-23299,-14682,18850,14908
-24707,-14811,19889,15669
-24240,-14768,19546,15418
-23769,-14725,19198,15164
-23299,-14682,18850,14908
-22827,-14639,18499,14650
-24240,-14768,19546,15418
-23769,-14725,19198,15164
-23299,-14682,18850,14908
-22827,-14639,18499,14650
-22354,-14596,18145,14389
-23769,-14725,19198,15164
-23299,-14682,18850,14908
-22827,-14639,18499,14650
-22354,-14596,18145,14389
-21879,-14556,17791,14126
-23299,-14682,18850,14908
-22827,-14639,18499,14650
-22354,-14596,18145,14389
-21879,-14556,17791,14126
-21403,-14514,17434,13860
-22827,-14639,18499,14650
-22354,-14596,18145,14389
-21879,-14556,17791,14126
-21403,-14514,17434,13860
-20927,-14472,17077,13591
-22354,-14596,18145,14389
-21879,-14556,17791,14126
-21403,-14514,17434,13860
-20927,-14472,17077,13591
-20451,-14432,16720,13317
-21879,-14556,17791,14126
-21403,-14514,17434,13860
-20927,-14472,17077,13591
-20451,-14432,16720,13317
-19974,-14393,16360,13042
-21403,-14514,17434,13860
-20927,-14472,17077,13591
-20451,-14432,16720,13317
-19974,-14393,16360,13042
-19495,-14354,16001,12761
-20927,-14472,17077,13591
-20451,-14432,16720,13317
-19974,-14393,16360,13042
-19495,-14354,16001,12761
-19019,-14316,15643,12479
-20451,-14432,16720,13317
-19974,-14393,16360,13042
-19495,-14354,16001,12761
-19019,-14316,15643,12479
-18543,-14278,15283,12192
-19974,-14393,16360,13042
-19495,-14354,16001,12761
-19019,-14316,15643,12479
-18543,-14278,15283,12192
-18068,-14241,14924,11900
-19495,-14354,16001,12761
-19019,-14316,15643,12479
-18543,-14278,15283,12192
-18068,-14241,14924,11900
-17596,-14206,14567,11606
-19019,-14316,15643,12479
-18543,-14278,15283,12192
-18068,-14241,14924,11900
-17596,-14206,14567,11606
-17125,-14172,14211,11307
-18543,-14278,15283,12192
-18068,-14241,14924,11900
-17596,-14206,14567,11606
-17125,-14172,14211,11307
-16658,-14139,13856,11005
-18068,-14241,14924,11900
-17596,-14206,14567,11606
-17125,-14172,14211,11307
-16658,-14139,13856,11005
-16196,-14106,13504,10700
-17596,-14206,14567,11606
-17125,-14172,14211,11307
-16658,-14139,13856,11005
-16196,-14106,13504,10700
-15736,-14076,13153,10389
-17125,-14172,14211,11307
-16658,-14139,13856,11005
-16196,-14106,13504,10700
-15736,-14076,13153,10389
-15284,-14047,12807,10075
-16658,-14139,13856,11005
-16196,-14106,13504,10700
-15736,-14076,13153,10389
-15284,-14047,12807,10075
-14839,-14018,12464,9755
-16196,-14106,13504,10700
-15736,-14076,13153,10389
-15284,-14047,12807,10075
-14839,-14018,12464,9755
-14399,-13991,12125,9432
-15736,-14076,13153,10389
-15284,-14047,12807,10075
-14839,-14018,12464,9755
-14399,-13991,12125,9432
-13971,-13966,11791,9104
-15284,-14047,12807,10075
-14839,-14018,12464,9755
-14399,-13991,12125,9432
-13971,-13966,11791,9104
-13551,-13942,11462,8770
-14839,-14018,12464,9755
